"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-03-01";"11:54:00";"F";"2433";"214";"605";"16";"0.646";"4.3"
"2013-03-01";"11:54:10";"F";"2434";"327";"579";"46";"0.435";"8.4"
"2013-03-01";"11:54:20";"F";"2435";"420";"556";"93";"0.245";"9.6"
"2013-03-01";"11:54:29";"F";"2436";"438";"522";"144";"0.161";"9.7"
"2013-03-01";"11:54:39";"F";"2437";"429";"487";"211";"0.119";"10.5"
"2013-03-01";"11:54:49";"F";"2438";"407";"449";"295";"0.094";"11.6"
"2013-03-01";"11:54:59";"F";"2439";"389";"415";"434";"0.063";"11.5"
"2013-03-01";"11:55:09";"F";"2440";"370";"390";"583";"0.051";"12.5"
"2013-03-01";"11:55:09";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:58:22";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:58:22";"REG1";"";"#1: Error: Not enough measures for calculating the curve ";""
"2013-03-01";"11:58:22";"REG2";"";"#1: Error: Not enough measures for calculating the curve ";""
"2013-03-01";"11:58:23";"FO";"2441";"117";"405";"0";"0.711";"0.0"
"2013-03-01";"11:58:23";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:00:03";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=26;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"12:00:03";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:00:03";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.002, ETRmPot: 4.540 ) ";""
"2013-03-01";"12:00:03";"REG2";"";"#1: alpha: 0.093, ETRm: 5.424, Ek: 58.165 ";""
"2013-03-01";"12:00:04";"FO";"2443";"151";"330";"0";"0.542";"0.0"
"2013-03-01";"12:00:14";"F";"2444";"204";"302";"16";"0.325";"2.2"
"2013-03-01";"12:00:24";"F";"2445";"218";"271";"46";"0.196";"3.8"
"2013-03-01";"12:00:34";"F";"2446";"226";"252";"93";"0.103";"4.0"
"2013-03-01";"12:00:43";"F";"2447";"226";"245";"144";"0.078";"4.7"
"2013-03-01";"12:00:53";"F";"2448";"227";"241";"211";"0.058";"5.1"
"2013-03-01";"12:01:03";"F";"2449";"228";"238";"295";"0.042";"5.2"
"2013-03-01";"12:01:13";"F";"2450";"232";"242";"434";"0.041";"7.5"
"2013-03-01";"12:01:23";"F";"2451";"235";"240";"583";"0.021";"5.1"
"2013-03-01";"12:01:23";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:03:14";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:03:14";"REG1";"";"#1: alpha: 0.356, ETRm: 10.904, Ek: 30.592   ( beta: 0.008, ETRmPot: 12.143 ) ";""
"2013-03-01";"12:03:14";"REG2";"";"#1: alpha: 0.309, ETRm: 9.908, Ek: 32.094 ";""
"2013-03-01";"12:03:15";"FO";"2452";"142";"495";"0";"0.713";"0.0"
"2013-03-01";"12:03:24";"F";"2453";"158";"490";"16";"0.678";"4.6"
"2013-03-01";"12:03:34";"F";"2454";"260";"472";"46";"0.449";"8.7"
"2013-03-01";"12:03:44";"F";"2455";"331";"454";"93";"0.271";"10.6"
"2013-03-01";"12:03:53";"F";"2456";"363";"442";"144";"0.179";"10.8"
"2013-03-01";"12:04:03";"F";"2457";"376";"427";"211";"0.119";"10.5"
"2013-03-01";"12:04:13";"F";"2458";"376";"409";"295";"0.081";"10.0"
