"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:22:23";"F";"50";"686";"688";"170";"13.0";"0.003";"0.2";"~190";"- 5.3";"0.004";"0.120";"0.106"
"2013-09-05";"11:22:33";"F";"51";"668";"666";"228";"13.0";"-";"-";"-";"- 5.3";"-";"-";"-"
"2013-09-05";"11:22:43";"F";"52";"638";"636";"337";"13.0";"-";"-";"-";"- 5.3";"-";"-";"-"
"2013-09-05";"11:22:43";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:25:16";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:25:16";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:25:16";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:25:17";"FO";"53";"240";"913";"0";"13.0";"0.737";"0.0";"-";"- 4.2";"-";"-";"-"
"2013-09-05";"11:25:27";"F";"54";"607";"916";"19";"13.0";"0.337";"2.7";"~240";"- 4.2";"0.457";"- 0.004";"- 0.003"
"2013-09-05";"11:25:37";"F";"55";"773";"903";"38";"13.0";"0.144";"2.3";"~239";"- 4.2";"0.196";"0.013";"0.011"
"2013-09-05";"11:25:47";"F";"56";"811";"882";"58";"13.0";"0.080";"1.9";"~238";"- 4.2";"0.110";"0.043";"0.035"
"2013-09-05";"11:25:57";"F";"57";"819";"863";"86";"13.0";"0.051";"1.8";"~236";"- 4.2";"0.070";"0.068";"0.058"
"2013-09-05";"11:26:07";"F";"58";"816";"845";"117";"13.0";"0.034";"1.7";"~235";"- 4.2";"0.048";"0.094";"0.080"
"2013-09-05";"11:26:16";"F";"59";"812";"825";"170";"13.0";"0.016";"1.1";"~233";"- 4.2";"0.022";"0.120";"0.107"
"2013-09-05";"11:26:26";"F";"60";"797";"802";"228";"13.0";"0.006";"0.6";"~232";"- 4.2";"0.009";"0.153";"0.138"
"2013-09-05";"11:26:36";"F";"61";"775";"773";"337";"13.0";"-";"-";"-";"- 4.2";"-";"-";"-"
"2013-09-05";"11:26:36";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:28:44";"SLCS";"";"Light Curve start ";""
